"","score","text"
"1",-1,"RT @aseemmanchanda: DoT has asked #TRAI to investigate license conditions violation by #Airtel, Vodafone and Idea Cellular by playing pre c…"
"2",-1,"Thank you @Airtel_Presence for such a terribly horrible network. I have no idea y am I still using your services fo… https://t.co/C7M4OKnobP"
"3",-1,"@airtelindia 
Internet is not working on ma number 9582223333 from morning. Continuously i coordinate  my problem w… https://t.co/IfqlVGxmWu"
"4",0,"RT @sakshinews: <U+0C2A><U+0C4D><U+0C32><U+0C3E><U+0C28><U+0C4D><U+0C32> <U+0C05><U+0C2A><U+0C4D><U+200C><U+0C21><U+0C47><U+0C1F><U+0C4D><U+200C><U+0C32><U+0C4B> <U+0C2C><U+0C3F><U+0C1C><U+0C40><U+0C2C><U+0C3F><U+0C1C><U+0C40><U+0C17><U+0C3E> <U+0C0E><U+0C2F><U+0C3F><U+0C30><U+0C4D><U+200C><U+0C1F><U+0C46><U+0C32><U+0C4D><U+200C>
https://t.co/7rBS7whV4t
#Airtel #RelianceJio https://t.co/EXAcFzIHg4"
"5",-1,"What's happening to #AIRTEL? They seem to have caught an incurable virus. Epileptic Data Service"
"6",-1,"@airtelindia will you stop sending incorrect bills every month?? You fail to correct it even after multiple request… https://t.co/OFZA0cBQpN"
"7",0,"Retablissement de l'Internet Mobile #Airtel #Orange #Vodacom Réseaux de merde"
"8",0,"@airtelindia i port my number from Idea to Airtel beacuase of fast service , but i am getting very poor service from #Airtel.
8097077464"
"9",0,"<U+0BB5><U+0BBF><U+0BA9><U+0BCD><U+0B95><U+0BCD> <U+0BAE><U+0BBF><U+0BAF><U+0BC2><U+0B9A><U+0BBF><U+0B95><U+0BCD> <U+0B9A><U+0BC6><U+0BAF><U+0BB2><U+0BBF> 75 <U+0BAE><U+0BBF><U+0BB2><U+0BCD><U+0BB2><U+0BBF><U+0BAF><U+0BA9><U+0BCD> <U+0B9F><U+0BB5><U+0BC1><U+0BA9><U+0BCD><U+0BB2><U+0BCB><U+0B9F><U+0BC1><U+0B95><U+0BB3><U+0BC8> <U+0B95><U+0B9F><U+0BA8><U+0BCD><U+0BA4><U+0BC1><U+0BB3><U+0BCD><U+0BB3><U+0BA4><U+0BBE><U+0B95> <U+0B8F><U+0BB0><U+0BCD><U+0B9F><U+0BC6><U+0BB2><U+0BCD> <U+0B85><U+0BB1><U+0BBF><U+0BB5><U+0BBF><U+0BAA><U+0BCD><U+0BAA><U+0BC1>

#WynkMusic #TechNews #smartphones… https://t.co/g59fGuhLlU"
"10",-1,"RT @anil15672: #Airtel suffered losses, as it just comes up with #Airteloffers to compete #Jio, without improving their Infra.I have around…"
"11",-1,"Fed-up with poor customer service from @airtelindia @Airtel_Presence chasing since morning but still no result..… https://t.co/sgVoJQAvCC"
"12",0,"i port my number from Idea to Airtel beacuase of fast service , but i am getting very poor service from #Airtel.
8097077464"
"13",1,"@Airtel_Presence why can't we get unlimited plan which similar prepaid
Prepaid 399/84days/84gb data whereas postpai… https://t.co/2zI1tOubvU"
"14",1,"Airtel 399 Plan Now Gives 84GB Data With Unlimited Calls &amp; SMS #Airtel #Airtel399Plan https://t.co/4hSFIril0g https://t.co/lcFGHeGxKq"
"15",-1,"@Airtel_Presence Its not a query , its a complaint. Internet speeds were normal with internet packs. The moment i r… https://t.co/28QTNPpwow"
"16",0,"#RDC #Kinshasa les services internet et sms des opérateurs @Orange, #Vodacom, #Airtel etc. toujours coupés… Pour qu… https://t.co/Hj267JvhKr"
"17",0,"#ConnectingAfrica: #Airtel reported revenues of $783 million, up by 5% from a year earlier, and grew its #African c… https://t.co/IJo8M15FeU"
"18",0,"Démarre cette nouvelle semaine en faisant le plein de crédit. Grâce au #DoubleCreditPermanent bénéficie de 100% de… https://t.co/IFkYvNqYa1"
"19",0,"RT @akfdbg99: @Airtel_Presence this is the network speed of #airtel4g #Shameless #Airtel. Please upgrade the network asap. https://t.co/hCs…"
"20",0,"#Airtel.. it's 19 days since a request for porting mob no 9536083370 is made. Till date airtel has NOT provided ser… https://t.co/OXdI0o3soP"
"21",0,"@beebomco Are u talking about app installed ?? Check it out.#wynkmusic  #airtel #Wynk https://t.co/wofjXhJfkg"
"22",0,"#Airtel <U+0A28><U+0A47> <U+0A06><U+0A2A><U+0A23><U+0A47> <U+0A07><U+0A38> <U+0A2A><U+0A32><U+0A3E><U+0A28> '<U+0A1A> <U+0A15><U+0A40><U+0A24><U+0A3E> <U+0A2C><U+0A26><U+0A32><U+0A3E><U+0A05>, <U+0A2E><U+0A3F><U+0A32><U+0A47><U+0A17><U+0A3E> 84GB <U+0A21><U+0A3E><U+0A1F><U+0A3E>
https://t.co/jJNPBaHSxm

@airtelindia https://t.co/3IB0l8SSWR"
"23",0,"<U+0C2A><U+0C4D><U+0C32><U+0C3E><U+0C28><U+0C4D><U+0C32> <U+0C05><U+0C2A><U+0C4D><U+200C><U+0C21><U+0C47><U+0C1F><U+0C4D><U+200C><U+0C32><U+0C4B> <U+0C2C><U+0C3F><U+0C1C><U+0C40><U+0C2C><U+0C3F><U+0C1C><U+0C40><U+0C17><U+0C3E> <U+0C0E><U+0C2F><U+0C3F><U+0C30><U+0C4D><U+200C><U+0C1F><U+0C46><U+0C32><U+0C4D><U+200C>
https://t.co/7rBS7whV4t
#Airtel #RelianceJio https://t.co/EXAcFzIHg4"
"24",0,"<U+091C><U+093F><U+092F><U+094B> <U+0915><U+0947> <U+0938><U+093E><U+0925> <U+090F><U+092F><U+0930><U+091F><U+0947><U+0932> <U+092D><U+0940> <U+0932><U+0947> <U+0930><U+0939><U+093E> <U+0939><U+0948> <U+0915><U+0921><U+093C><U+0940> <U+091F><U+0915><U+094D><U+0915><U+0930>
#technologynews #jio #airtel
https://t.co/XLhn83uKDW"
"25",1,"""Reliance #Jio vs #Airtel: Who is offering a better deal for Rs 149 and Rs 399 https://t.co/dlmAbRvhbn #dnaTech https://t.co/Zrhg50S7Lg"""
"26",0,"RT @beebomco: Do you Wynk?

#Wynk #Airtel https://t.co/7ch704F9ct"
"27",1,"Reliance #Jio vs #Airtel: Who is offering a better deal for Rs 149 and Rs 399 https://t.co/dMEibL7G8E #dnaTech https://t.co/Fr75BkrU9h"
"28",0,"RT @expresstechie: Statistics have shown that #Airtel Wynk Music has been downloaded more than 75 million times
https://t.co/RtHHBCSRIT"
"29",0,"Statistics have shown that #Airtel Wynk Music has been downloaded more than 75 million times
https://t.co/RtHHBCSRIT"
"30",0,"#Airtel new offer for its users. Airtel IndiaJio https://t.co/VDj5xbBIlv"
"31",0,"RT beebomco : Do you Wynk?

#Wynk #Airtel https://t.co/1n222Et7o0"
"32",0,"Do you Wynk?

#Wynk #Airtel https://t.co/7ch704F9ct"
"33",4,"Why write love letters when you can simply dedicate love songs to your beloved ones <U+2764><U+FE0F> Now make this beautiful song… https://t.co/1BIHAcZiKz"
"34",0,"RT @NewsNationTV: #Airtel’s #Wynkmusic crosses 75 million app installations!
https://t.co/7h4XkLMktJ"
"35",0,"#Airtel’s #Wynkmusic crosses 75 million app installations!
https://t.co/7h4XkLMktJ"
"36",2,"Now, Enjoy more data &amp; calling benefits with #Airtel plans. More details inside.  https://t.co/yr2Dsk4HFv"
"37",-1,"The customers are switching from #Airtel to other operators cuz of your network issue, not cuz of your plans.… https://t.co/uAlG7ym1MK"
